[0.000s] Experiment Started
[5.005s] Block 1 Started
[6.006s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[291.223s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[294.226s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[296.228s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[299.231s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[301.231s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[304.234s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[306.236s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[309.239s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[311.241s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[314.244s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[316.246s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[319.249s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[321.251s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[324.253s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[326.255s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[329.258s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[331.260s] Block 2 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[334.263s] Block 2 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[336.265s] Block 2 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[339.268s] Block 2 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[341.270s] Block 2 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[344.273s] Block 2 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[346.274s] Block 2 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[349.276s] Block 2 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[351.278s] Block 2 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[354.281s] Block 2 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[356.283s] Block 2 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[359.286s] Block 2 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[361.288s] Block 2 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[364.291s] Block 2 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[366.293s] Block 2 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[369.296s] Block 2 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[371.298s] Block 2 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[374.300s] Block 2 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[376.302s] Block 2 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[379.305s] Block 2 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[381.307s] Block 2 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[384.310s] Block 2 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[386.312s] Block 2 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[389.315s] Block 2 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[391.316s] Block 2 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[394.319s] Block 2 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[396.320s] Block 2 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[399.323s] Block 2 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[401.325s] Block 2 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[404.328s] Block 2 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[406.330s] Block 2 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[409.333s] Block 2 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[411.335s] Block 2 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[414.338s] Block 2 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[416.340s] Block 2 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[419.343s] Block 2 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[421.344s] Block 2 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[424.347s] Block 2 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[426.349s] Block 2 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[429.352s] Block 2 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[431.354s] Block 2 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[434.356s] Block 2 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[436.358s] Block 2 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[439.361s] Block 2 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[441.363s] Block 2 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[444.365s] Block 2 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[446.367s] Block 2 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[449.370s] Block 2 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[451.372s] Block 2 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[454.375s] Block 2 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[456.377s] Block 2 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[459.380s] Block 2 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[461.382s] Block 2 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[464.385s] Block 2 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[465.386s] Block 2 Ended
[525.392s] Block 3 Started
[526.393s] Block 3 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[529.396s] Block 3 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[531.398s] Block 3 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[534.399s] Block 3 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[536.401s] Block 3 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[539.404s] Block 3 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[541.406s] Block 3 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[544.409s] Block 3 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[546.411s] Block 3 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[549.414s] Block 3 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[551.416s] Block 3 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[554.419s] Block 3 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[556.421s] Block 3 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[559.423s] Block 3 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[561.425s] Block 3 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[564.428s] Block 3 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[566.430s] Block 3 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[569.433s] Block 3 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[571.435s] Block 3 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[574.438s] Block 3 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[576.440s] Block 3 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[579.442s] Block 3 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[581.443s] Block 3 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[584.446s] Block 3 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[586.448s] Block 3 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[589.451s] Block 3 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[591.453s] Block 3 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[594.456s] Block 3 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[596.458s] Block 3 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[599.461s] Block 3 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[601.463s] Block 3 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[604.466s] Block 3 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[606.467s] Block 3 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[609.470s] Block 3 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[611.472s] Block 3 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[614.475s] Block 3 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[616.477s] Block 3 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[619.480s] Block 3 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[621.481s] Block 3 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[624.484s] Block 3 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[626.486s] Block 3 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[629.488s] Block 3 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[631.490s] Block 3 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[634.493s] Block 3 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[636.495s] Block 3 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[639.498s] Block 3 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[641.500s] Block 3 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[644.503s] Block 3 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[646.505s] Block 3 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[649.508s] Block 3 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[651.510s] Block 3 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[654.512s] Block 3 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[656.514s] Block 3 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[659.517s] Block 3 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[661.519s] Block 3 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[664.522s] Block 3 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[666.523s] Block 3 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[669.526s] Block 3 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[671.528s] Block 3 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[674.531s] Block 3 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[676.532s] Block 3 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[679.535s] Block 3 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[681.537s] Block 3 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[684.540s] Block 3 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[686.542s] Block 3 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[689.545s] Block 3 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[691.547s] Block 3 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[694.550s] Block 3 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[696.552s] Block 3 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[699.554s] Block 3 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[701.556s] Block 3 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[704.559s] Block 3 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[706.561s] Block 3 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[709.564s] Block 3 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[711.565s] Block 3 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[714.568s] Block 3 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[716.570s] Block 3 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[719.573s] Block 3 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[721.575s] Block 3 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[724.577s] Block 3 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[725.578s] Block 3 Ended
[785.585s] Block 4 Started
[786.586s] Block 4 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[789.588s] Block 4 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[791.590s] Block 4 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[794.593s] Block 4 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[796.595s] Block 4 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[799.598s] Block 4 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[801.600s] Block 4 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[804.603s] Block 4 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[806.605s] Block 4 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[809.607s] Block 4 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[811.609s] Block 4 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[814.611s] Block 4 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[816.613s] Block 4 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[819.616s] Block 4 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[821.618s] Block 4 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[824.621s] Block 4 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[826.623s] Block 4 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[829.626s] Block 4 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[831.628s] Block 4 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[834.631s] Block 4 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[836.632s] Block 4 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[839.635s] Block 4 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[841.637s] Block 4 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[844.640s] Block 4 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[846.642s] Block 4 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[849.645s] Block 4 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[851.647s] Block 4 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[854.649s] Block 4 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[856.651s] Block 4 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[859.654s] Block 4 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[861.655s] Block 4 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[864.658s] Block 4 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[866.660s] Block 4 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[869.663s] Block 4 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[871.665s] Block 4 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[874.668s] Block 4 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[876.670s] Block 4 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[879.673s] Block 4 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[881.675s] Block 4 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[884.677s] Block 4 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[886.679s] Block 4 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[889.682s] Block 4 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[891.684s] Block 4 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[894.687s] Block 4 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[896.689s] Block 4 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[899.691s] Block 4 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[901.693s] Block 4 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[904.696s] Block 4 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[906.698s] Block 4 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[909.700s] Block 4 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[911.702s] Block 4 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[914.705s] Block 4 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[916.707s] Block 4 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[919.710s] Block 4 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[921.712s] Block 4 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[924.715s] Block 4 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[926.717s] Block 4 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[929.720s] Block 4 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[931.721s] Block 4 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[934.724s] Block 4 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[936.726s] Block 4 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[939.729s] Block 4 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[941.731s] Block 4 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[944.733s] Block 4 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[946.735s] Block 4 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[949.738s] Block 4 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[951.740s] Block 4 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[954.743s] Block 4 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[956.744s] Block 4 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[959.747s] Block 4 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[961.749s] Block 4 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[964.752s] Block 4 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[966.754s] Block 4 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[969.757s] Block 4 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[971.759s] Block 4 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[974.762s] Block 4 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[976.764s] Block 4 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[979.766s] Block 4 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[981.768s] Block 4 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[984.771s] Block 4 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[985.772s] Block 4 Ended
[985.788s] Experiment Ended
